SampleId,Participant ID,Scenario,Actual,Percieved,Participant notes
117,6,fmod w/o reverb,"(-0.21,-0.75,1.59)","(-0.22,-0.38,1.13)",
118,6,fmod w/o reverb,"(0.31,0.18,1.07)","(-0.52,0.23,1.18)",
119,6,3dti w/o reverb,"(0.96,0.59,0.69)","(-0.17,0.38,1.11)",
120,6,3dti w/o reverb,"(0.20,-0.57,1.09)","(-0.23,-0.20,1.26)",
121,6,3dti w/o reverb,"(0.88,0.43,0.65)","(-0.14,0.32,1.12)",
122,6,3dti w/o reverb,"(0.27,0.31,1.25)","(0.17,0.44,1.13)",
123,6,fmod w/o reverb,"(-0.10,0.40,1.36)","(-0.44,0.23,1.09)",
124,6,3dti w/o reverb,"(-0.32,-0.61,0.88)","(-0.27,-0.52,1.04)",
125,7,control,"(0.57,-0.96,0.69)","(0.68,-0.99,0.75)",
126,7,control,"(-0.5,0.28,1.38)","(-0.44,0.36,1.6)",
127,7,control,"(1.15,0.35,0.76)","(1.2,0.38,0.72)",
128,7,control,"(-1.0,-0.33,0.27)","(-1.12,-0.77,0.6)",
129,7,control,"(0.67,-0.29,1.36)","(0.76,-0.19,1.60)",
130,7,fmod w/o reverb,"(0.56,0.09,1.67)","(-0.06,0.11,1.26)","Very severe centering both with and without reverb. Audio music teacher without experience with VR nor game audio. For no reverb scenario, added +20 cm on X axis to compensate for participant leaning too much forwards."
131,7,3dti w/o reverb,"(1.34,-1.02,2.03)","(0.02,-0.11,1.20)",
132,7,3dti w/o reverb,"(0.71,1.41,1.44)","(0.06,0.10,1.41)",
133,7,fmod w/o reverb,"(0.04,-1.81,1.13)","(0.01,-0.15,1.14)",
134,7,fmod w/o reverb,"(-0.44,0.81,0.70)","(-0.14,0.19,1.18)",
135,7,fmod w/o reverb,"(0.41,-0.06,1.26)","(-0.07,0.06,1.22)",
136,7,3dti w/o reverb,"(0.52,-1.13,0.64)","(-0.17,-0.25,1.23)",
137,7,3dti w/o reverb,"(1.41,0.57,1.82)","(0.10,0.27,1.43)",
138,7,3dti w/o reverb,"(0.92,0.22,0.63)","(0.09,0.02,1.40)",
139,7,3dti w/o reverb,"(1.08,0.88,0.80)","(0.07,0.28,1.43)",
140,7,3dti w/ reverb,"(0.18,0.74,1.22)","(0.15,0.33,1.54)",
141,7,3dti w/ reverb,"(-0.55,0.61,0.91)","(0.11,0.27,1.49)",
142,7,fmod w/ reverb,"(-0.12,-0.62,1.09)","(-0.09,-0.04,1.28)",
143,7,fmod w/ reverb,"(0.73,-0.05,1.01)","(0.03,-0.06,1.26)",
144,7,3dti w/ reverb,"(0.31,-1.28,2.05)","(-0.35,-0.72,1.73)",
145,7,3dti w/ reverb,"(0.05,0.86,1.24)","(-0.18,0.51,1.65)",
146,7,fmod w/ reverb,"(-0.29,0.64,1.03)","(0.07,0.02,1.30)",
147,7,fmod w/ reverb,"(-0.74,-1.01,0.74)","(-0.11,-0.11,1.26)",
148,7,3dti w/ reverb,"(0.39,0.10,1.36)","(-0.02,-0.07,1.47)",
149,7,fmod w/ reverb,"(-0.39,-1.41,0.75)","(-0.17,-0.12,1.24)",
150,8,control,"(-0.53,0.70,0.74)","(-0.66,0.66,0.56)","Programmer, doesn't know about binaural audio. For control scenario, has the least euclidean error of all participants. Lots of front-back reversals for fmod. Perfect example for loss of perception of elevation: placed nearly all fmod sources on azimuthal plane and for 3dti has consistenly been fairly accurate in elevation."
151,8,control,"(0.56,-0.89,0.61)","(0.64,-0.91,0.32)",
152,8,control,"(1.21,0.05,0.32)","(1.12,0.03,0.41)",
153,8,control,"(-0.46,-0.21,1.42)","(-0.55,-0.18,1.52)",
154,8,control,"(-0.85,-0.12,1.05)","(-0.77,-0.05,0.99)",
155,8,3dti w/o reverb,"(-0.86,0.12,1.92)","(-0.08,-0.17,1.24)",
156,8,fmod w/o reverb,"(0.08,-1.83,1.31)","(-0.89,-0.55,1.14)",
157,8,fmod w/o reverb,"(-1.62,0.41,1.75)","(0.85,0.40,1.15)",
158,8,fmod w/o reverb,"(-0.29,0.85,1.23)","(-0.43,0.75,1.18)",
159,8,fmod w/o reverb,"(-0.68,1.65,0.63)","(-0.73,0.35,1.13)",
160,8,fmod w/o reverb,"(0.86,-1.05,1.19)","(-0.62,-0.52,0.41)",
161,8,3dti w/o reverb,"(0.04,-0.67,1.51)","(0.55,-0.50,1.72)",
162,8,3dti w/o reverb,"(-1.02,1.50,1.48)","(0.14,0.65,1.83)",
163,8,fmod w/o reverb,"(-0.21,0.43,1.19)","(0.26,0.05,1.20)",
164,8,fmod w/o reverb,"(1.14,-0.49,2.20)","(-0.65,-0.24,1.20)",
165,9,control,"(0.35,-0.92,1.41)","(0.30,-1.01,1.41)","Programmer, doesn't know about binaural audio."
166,9,control,"(0.09,0.63,0.39)","(0.37,0.79,0.36)",
167,9,control,"(-1.07,1.06,1.50)","(-1.08,1.33,1.31)",
168,9,control,"(1.21,-0.70,0.25)","(1.33,-0.51,0.31)",
169,9,control,"(0.43,0.28,1.44)","(0.41,0.33,1.36)",
170,9,3dti w/o reverb,"(-1.16,0.02,2.10)","(0.28,-0.01,1.10)",
171,9,fmod w/o reverb,"(-0.10,-0.31,1.47)","(-0.14,-0.32,1.17)",
172,9,3dti w/o reverb,"(-0.70,1.04,1.09)","(-0.05,0.31,1.14)",
173,9,3dti w/o reverb,"(-0.10,-0.74,0.92)","(-0.34,-0.91,1.41)",
174,9,3dti w/o reverb,"(0.49,-0.00,1.19)","(0.76,-0.02,1.65)",
175,9,fmod w/o reverb,"(-1.40,-0.52,2.36)","(-1.13,-0.34,1.45)",
176,9,3dti w/o reverb,"(-1.43,0.11,0.32)","(0.06,1.03,1.49)",
177,9,3dti w/o reverb,"(-0.84,-0.30,1.48)","(-0.76,-0.66,1.45)",
178,9,3dti w/o reverb,"(0.41,0.15,1.46)","(-1.09,0.69,1.34)",
179,9,3dti w/o reverb,"(0.58,0.49,1.34)","(0.33,0.91,1.43)",
180,10,control,"(-0.22,1.21,1.43)","(-0.30,1.02,1.60)","Programmer, does know about binaural audio. For control scenario, conductor accidently picked two nearly identical positions. One front-back reversal in control scenario. Slight centering in control spatialization scenarios."
181,10,control,"(0.66,-0.28,1.05)","(-0.42,0.09,1.63)",
182,10,control,"(-0.86,-0.06,1.50)","(-0.76,-0.08,1.24)",
183,10,control,"(1.05,-0.06,1.49)","(1.19,0.14,1.50)",
184,10,control,"(-0.97,-0.02,1.46)","(-0.64,-0.15,1.08)",
185,10,3dti w/o reverb,"(0.89,0.37,0.98)","(-0.04,0.32,1.14)",
186,10,fmod w/o reverb,"(0.81,0.38,0.69)","(-0.27,0.04,1.25)",
187,10,3dti w/o reverb,"(-0.55,-0.06,1.17)","(-0.22,-0.21,1.23)",
188,10,fmod w/o reverb,"(-0.21,0.99,1.65)","(0.36,0.28,1.21)",
189,10,3dti w/o reverb,"(1.08,0.82,1.35)","(-0.36,0.44,1.43)",
190,10,3dti w/o reverb,"(1.04,-0.35,1.06)","(-0.05,-0.56,1.25)",
191,10,fmod w/o reverb,"(-0.67,-0.66,0.65)","(0.01,-0.18,1.15)",
192,10,fmod w/o reverb,"(-1.45,0.32,0.25)","(0.40,0.07,1.08)",
193,10,fmod w/o reverb,"(-0.39,-1.05,1.95)","(-0.30,-0.33,1.27)",
194,10,3dti w/o reverb,"(-0.66,-1.41,1.62)","(-0.41,-0.49,1.49)",
